Prefixo,Nome,TipoPosto,Data,Valor,Valor2
351870108A,Guarujá (Jardim da Esperança),2,2025/07/17,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/07/16,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/07/15,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/07/14,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/07/13,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/07/12,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/07/11,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/07/10,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/07/09,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/07/08,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/07/07,3.3634000000000004,null
351870108A,Guarujá (Jardim da Esperança),2,2025/07/06,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/07/05,0.2,null
351870108A,Guarujá (Jardim da Esperança),2,2025/07/04,0.2,null
351870108A,Guarujá (Jardim da Esperança),2,2025/07/03,17.795723501576663,null
351870108A,Guarujá (Jardim da Esperança),2,2025/07/02,28.42708997199504,null
351870108A,Guarujá (Jardim da Esperança),2,2025/07/01,13.937779999999988,null
351870108A,Guarujá (Jardim da Esperança),2,2025/06/30,7.167060000000004,null
351870108A,Guarujá (Jardim da Esperança),2,2025/06/29,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/06/28,4.781700000000002,null
351870108A,Guarujá (Jardim da Esperança),2,2025/06/27,5.5451000000000015,null
351870108A,Guarujá (Jardim da Esperança),2,2025/06/26,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/06/25,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/06/24,17.51587972507664,null
351870108A,Guarujá (Jardim da Esperança),2,2025/06/23,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/06/22,9.463025733209237,null
351870108A,Guarujá (Jardim da Esperança),2,2025/06/21,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/06/20,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/06/17,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/06/16,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/06/15,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/06/14,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/06/13,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/06/12,12.804347170750585,null
351870108A,Guarujá (Jardim da Esperança),2,2025/06/11,12.619095883777236,null
351870108A,Guarujá (Jardim da Esperança),2,2025/06/10,30.13015991317911,null
